marca,modelo,Año,Precio,Color,Combustible,Rendimiento,Transmisión,Cantidad,Motor,agencia_id,estado_agencia,municipio_agencia,tipo_vehiculo,descripcion,array_fotografias,grupo_automotriz_id,grupo_automotriz,gerente_id
Dongfeng,Arteon,2014,"$50,515",Pink,Eléctrico,981,Automático,6,1.6L I2,100013,Jalisco,Guadalajara,Convertible,The luxurious sedan combines sophisticated style with cutting-edge technology and smooth handling for a truly refined driving experience.,https://www.example.com/images/cars/silver-luxury-car.jpg,628914,Audi,732568
JMC,GLE-Class,2003,"$47,891",Red,Gasolina,508,Manual,9,2.7L I6,100014,México,Toluca,Compact car,"The versatile SUV is great for both daily commutes and weekend adventures, with ample cargo space, advanced safety features, and off-road capabilities.",https://www.example.com/images/cars/green-off-road-vehicle.jpg,471069,Dodge,135907
Lifan,Bolt EUV,2006,"$8,500",White,Eléctrico,935,Automático,8,4.2L V8,100015,Michoacán, Morelia,Luxury car,"The sporty convertible is perfect for sunny days, with a retractable roof, agile handling, and a powerful engine for an exhilarating ride.",https://www.example.com/images/cars/orange-sports-car.jpg,840527,Subaru,840716
MG,XC117,2008,"$22,587",Silver,Eléctrico,722,Automático,4,1.9L I2,100016,Morelos,Cuernavaca,Sedan,"The eco-friendly hybrid car offers both fuel efficiency and performance, with a smooth ride, advanced features, and lower emissions for a more sustainable driving experience.",https://www.example.com/images/cars/yellow-compact-car.jpg,172935,BMW,579142
Proton,ES 377,2013,"$98,329",Black,Gasolina,903,Manual,1,2.8L I6,100017,Nayarit,Tepic,Hybrid car,"The off-road vehicle is rugged and capable, with four-wheel drive, high ground clearance, and advanced suspension for tackling even the toughest terrain.",https://www.example.com/images/cars/purple-hybrid-car.jpg,739128,Lexus,314295
Perodua,Durango,2017,"$63,825",Blue,Eléctrico,359,Manual,7,3.4L V8,100018,Nuevo León,Monterrey,City car,"The sleek and modern electric car offers a smooth and silent ride, zero emissions, and advanced features for a more sustainable and high-tech driving experience.",https://www.example.com/images/cars/teal-city-car.jpg,285401,Fiat,674081
SsangYong,Pathfinder,2018,"$29,058",Green,Gasolina,719,Manual,3,1.1L I3,100019,Oaxaca,Oaxaca de Juárez,Sports car,"The sleek and sporty sports car boasts a powerful engine, precision handling, and a luxurious interior with high-tech features.",https://www.example.com/images/cars/red-sports-car.jpg,941702,Hyundai,819354
Mahindra,Passat,2012,"$26,459",Gray,Eléctrico,376,Manual,6,2.1L I6,100020,Puebla,Puebla,SUV,"The rugged and reliable pickup truck is perfect for work or play, with a spacious bed, towing capacity, and all-terrain capabilities.",https://www.example.com/images/cars/black-SUV.jpg,568314,Jaguar,506291
Isuzu,Compass,2016,"$63,066",Yellow,Eléctrico,523,Manual,2,4.3L V8,100021,Querétaro,Santiago de Querétaro,Pickup truck,"The family-friendly minivan has plenty of room for passengers and cargo, with convenient sliding doors, comfortable seating, and entertainment options for long road trips.",https://www.example.com/images/cars/white-pickup-truck.jpg,395216,Tesla,246835
Hino,Terrain,2010,"$80,145",Brown,Gasolina,815,Manual,8,1.7L I2,100022,Quintana Roo,Othón P. Blanco,Minivan,"The compact city car is efficient and easy to park, making it a practical choice for navigating crowded urban areas.",https://www.example.com/images/cars/blue-convertible.jpg,918275,Chevrolet,981623
Scania,Santa Fe,2015,"$92,124",Orange,Eléctrico,938,Manual,10,2.9L I6,100023,San Luis Potosí,San Luis Potosí,Convertible,The luxurious sedan combines sophisticated style with cutting-edge technology and smooth handling for a truly refined driving experience.,https://www.example.com/images/cars/silver-luxury-car.jpg,620143,Audi,732568
MAN,Renegade,2011,"$10,212",Red,Gasolina,726,Manual,9,3.5L V12,100024,Sinaloa,Culiacán,Compact car,"The versatile SUV is great for both daily commutes and weekend adventures, with ample cargo space, advanced safety features, and off-road capabilities.",https://www.example.com/images/cars/green-off-road-vehicle.jpg,897604,Dodge,135907
Volvo Trucks,QX107,2022,"$51,173",White,Gasolina,217,Automático,1,1.2L I2,100025,Sonora,Hermosillo,Luxury car,"The sporty convertible is perfect for sunny days, with a retractable roof, agile handling, and a powerful engine for an exhilarating ride.",https://www.example.com/images/cars/orange-sports-car.jpg,151278,Subaru,840716
Mack Trucks,Terrain,2007,"$70,024",Silver,Gasolina,628,Manual,7,2.2L I8,100026,Tabasco,Centro,Sedan,"The eco-friendly hybrid car offers both fuel efficiency and performance, with a smooth ride, advanced features, and lower emissions for a more sustainable driving experience.",https://www.example.com/images/cars/yellow-compact-car.jpg,789032,BMW,579142
Peterbilt,Sorento,2004,"$79,618",Black,Eléctrico,479,Automático,3,4.0L V12,100027,Tamaulipas,Victoria,Hybrid car,"The off-road vehicle is rugged and capable, with four-wheel drive, high ground clearance, and advanced suspension for tackling even the toughest terrain.",https://www.example.com/images/cars/purple-hybrid-car.jpg,346219,Lexus,314295
Kenworth,RDX,2009,"$20,011",Blue,Gasolina,762,Manual,6,1.4L I1,100028,Tlaxcala,Tlaxcala de Xicohténcatl,City car,"The sleek and modern electric car offers a smooth and silent ride, zero emissions, and advanced features for a more sustainable and high-tech driving experience.",https://www.example.com/images/cars/teal-city-car.jpg,632518,Fiat,674081
Freightliner,Yukon,2016,"$75,869",Green,Eléctrico,335,Automático,2,2.3L I8,100029,Veracruz,Xalapa,Sports car,"The sleek and sporty sports car boasts a powerful engine, precision handling, and a luxurious interior with high-tech features.",https://www.example.com/images/cars/red-sports-car.jpg,478936,Hyundai,819354
International,Encore GX,2014,"$73,499",Gray,Gasolina,872,Automático,8,4.1L V12,100030,Yucatán,Mérida,SUV,"The rugged and reliable pickup truck is perfect for work or play, with a spacious bed, towing capacity, and all-terrain capabilities.",https://www.example.com/images/cars/black-SUV.jpg,843602,Jaguar,506291
Western Star,RAV4 Hybrid,2020,"$74,249",Yellow,Eléctrico,684,Manual,10,1.5L I1,100031,Zacatecas, Zacatecas,Pickup truck,"The family-friendly minivan has plenty of room for passengers and cargo, with convenient sliding doors, comfortable seating, and entertainment options for long road trips.",https://www.example.com/images/cars/white-pickup-truck.jpg,170983,Tesla,246835
Iveco,GLC-Class,2018,"$19,706",Brown,Eléctrico,585,Manual,4,2.6L I8,100032,Ciudad de México,Cuauhtémoc,Minivan,"The compact city car is efficient and easy to park, making it a practical choice for navigating crowded urban areas.",https://www.example.com/images/cars/blue-convertible.jpg,734921,Chevrolet,981623
Renault Trucks,NX 327,2002,"$11,085",Orange,Gasolina,147,Manual,1,3.3L V12,100001,Aguascalientes,Aguascalientes,Convertible,The luxurious sedan combines sophisticated style with cutting-edge technology and smooth handling for a truly refined driving experience.,https://www.example.com/images/cars/silver-luxury-car.jpg,483925,Audi,732568
DAF,CR-V,2013,"$39,880",Purple,Eléctrico,598,Manual,7,1.0L I0,100002,Baja California,Mexicali,Compact car,"The versatile SUV is great for both daily commutes and weekend adventures, with ample cargo space, advanced safety features, and off-road capabilities.",https://www.example.com/images/cars/green-off-road-vehicle.jpg,739102,Dodge,135907
Tatra,X30,2005,"$63,859",Gold,Gasolina,944,Manual,3,2.4L I8,100003,Baja California Sur,La Paz,Luxury car,"The sporty convertible is perfect for sunny days, with a retractable roof, agile handling, and a powerful engine for an exhilarating ride.",https://www.example.com/images/cars/orange-sports-car.jpg,287651,Subaru,840716
ZIL,Kona,2017,"$47,295",Beige,Eléctrico,431,Manual,6,3.8L V12,100004,Campeche,Campeche,Sedan,"The eco-friendly hybrid car offers both fuel efficiency and performance, with a smooth ride, advanced features, and lower emissions for a more sustainable driving experience.",https://www.example.com/images/cars/yellow-compact-car.jpg,921473,BMW,579142
Kamaz,Atlas Cross Sport,2003,"$10,123",Turquoise,Eléctrico,180,Manual,9,1.6L I1,100005,Chiapas,Tuxtla Gutiérrez,Hybrid car,"The off-road vehicle is rugged and capable, with four-wheel drive, high ground clearance, and advanced suspension for tackling even the toughest terrain.",https://www.example.com/images/cars/purple-hybrid-car.jpg,564218,Lexus,314295
UAZ,Explorer ST,2023,"$49,179",Pink,Gasolina,278,Manual,8,2.7L I8,100006,Chihuahua,Chihuahua,City car,"The sleek and modern electric car offers a smooth and silent ride, zero emissions, and advanced features for a more sustainable and high-tech driving experience.",https://www.example.com/images/cars/teal-city-car.jpg,387102,Fiat,674081
VAZ,X32,2019,"$14,784",Red,Eléctrico,927,Automático,4,4.2L V12,100007,Coahuila,Saltillo,Sports car,"The sleek and sporty sports car boasts a powerful engine, precision handling, and a luxurious interior with high-tech features.",https://www.example.com/images/cars/red-sports-car.jpg,913276,Hyundai,819354
Moskvich,Edge ST,2011,"$92,791",White,Gasolina,225,Automático,1,1.9L I1,100008,Colima,Colima,SUV,"The rugged and reliable pickup truck is perfect for work or play, with a spacious bed, towing capacity, and all-terrain capabilities.",https://www.example.com/images/cars/black-SUV.jpg,625491,Jaguar,506291
Trabant,QX77,2014,"$43,142",Silver,Gasolina,363,Automático,10,2.8L I8,100009,Durango,Durango,Pickup truck,"The family-friendly minivan has plenty of room for passengers and cargo, with convenient sliding doors, comfortable seating, and entertainment options for long road trips.",https://www.example.com/images/cars/white-pickup-truck.jpg,891635,Tesla,246835
Wartburg,XT32,2006,"$29,077",Black,Gasolina,844,Automático,7,3.4L V12,100010,Guanajuato,Guanajuato,Minivan,"The compact city car is efficient and easy to park, making it a practical choice for navigating crowded urban areas.",https://www.example.com/images/cars/blue-convertible.jpg,154830,Chevrolet,981623
DKW,Terrain,2018,"$37,638",Blue,Eléctrico,437,Manual,3,1.1L I2,100011,Guerrero,Chilpancingo de los Bravo,Convertible,The luxurious sedan combines sophisticated style with cutting-edge technology and smooth handling for a truly refined driving experience.,https://www.example.com/images/cars/silver-luxury-car.jpg,792361,Audi,732568
Borgward,Renegade,2007,"$51,750",Green,Gasolina,212,Automático,6,2.1L I8,100012,Hidalgo, Pachuca de Soto,Compact car,"The versatile SUV is great for both daily commutes and weekend adventures, with ample cargo space, advanced safety features, and off-road capabilities.",https://www.example.com/images/cars/green-off-road-vehicle.jpg,340725,Dodge,135907
NSU,GLE-Class Coupe,2022,"$23,283",Gray,Eléctrico,763,Manual,2,4.3L V12,100013,Jalisco,Guadalajara,Luxury car,"The sporty convertible is perfect for sunny days, with a retractable roof, agile handling, and a powerful engine for an exhilarating ride.",https://www.example.com/images/cars/orange-sports-car.jpg,628914,Subaru,840716
Auto Union,Rogue,2012,"$17,501",Yellow,Gasolina,277,Manual,8,1.7L I1,100014,México,Toluca,Sedan,"The eco-friendly hybrid car offers both fuel efficiency and performance, with a smooth ride, advanced features, and lower emissions for a more sustainable driving experience.",https://www.example.com/images/cars/yellow-compact-car.jpg,471069,BMW,579142
Maybach,Blazer,2001,"$78,284",Brown,Eléctrico,365,Manual,4,2.9L I8,100015,Michoacán, Morelia,Hybrid car,"The off-road vehicle is rugged and capable, with four-wheel drive, high ground clearance, and advanced suspension for tackling even the toughest terrain.",https://www.example.com/images/cars/purple-hybrid-car.jpg,840527,Lexus,314295
Horch,Terrain,2010,"$27,897",Orange,Eléctrico,828,Manual,1,3.5L W16,100016,Morelos,Cuernavaca,City car,"The sleek and modern electric car offers a smooth and silent ride, zero emissions, and advanced features for a more sustainable and high-tech driving experience.",https://www.example.com/images/cars/teal-city-car.jpg,172935,Fiat,674081
Wanderer,Fusion,2008,"$70,429",Red,Gasolina,726,Manual,10,1.2L I1,100017,Nayarit,Tepic,Sports car,"The sleek and sporty sports car boasts a powerful engine, precision handling, and a luxurious interior with high-tech features.",https://www.example.com/images/cars/red-sports-car.jpg,739128,Hyundai,819354
Autozam,Highlander,2015,"$34,670",White,Eléctrico,938,Automático,7,2.2L I12,100018,Nuevo León,Monterrey,SUV,"The rugged and reliable pickup truck is perfect for work or play, with a spacious bed, towing capacity, and all-terrain capabilities.",https://www.example.com/images/cars/black-SUV.jpg,285401,Jaguar,506291
Innocenti,Charger,2021,"$55,978",Silver,Gasolina,192,Manual,3,4.0L W16,100019,Oaxaca,Oaxaca de Juárez,Pickup truck,"The family-friendly minivan has plenty of room for passengers and cargo, with convenient sliding doors, comfortable seating, and entertainment options for long road trips.",https://www.example.com/images/cars/white-pickup-truck.jpg,941702,Tesla,246835
DeLorean,Beetle,2009,"$47,506",Black,Gasolina,765,Automático,6,1.4L I0,100020,Puebla,Puebla,Minivan,"The compact city car is efficient and easy to park, making it a practical choice for navigating crowded urban areas.",https://www.example.com/images/cars/blue-convertible.jpg,568314,Chevrolet,981623
Nissan,Sentra,2000,"$23,967",Blue,Gasolina,501,Automático,9,2.3L I12,100021,Querétaro,Santiago de Querétaro,Convertible,The luxurious sedan combines sophisticated style with cutting-edge technology and smooth handling for a truly refined driving experience.,https://www.example.com/images/cars/silver-luxury-car.jpg,395216,Audi,732568
Ford,Sorento,2016,"$50,390",Green,Eléctrico,930,Automático,8,1.8L I4,100022,Quintana Roo,Othón P. Blanco,Compact car,"The versatile SUV is great for both daily commutes and weekend adventures, with ample cargo space, advanced safety features, and off-road capabilities.",https://www.example.com/images/cars/green-off-road-vehicle.jpg,918275,Dodge,135907
Toyota,Fiesta,2017,"$32,855",Gray,Gasolina,349,Automático,4,2.0L I4,100023,San Luis Potosí,San Luis Potosí,Luxury car,"The sporty convertible is perfect for sunny days, with a retractable roof, agile handling, and a powerful engine for an exhilarating ride.",https://www.example.com/images/cars/orange-sports-car.jpg,620143,Subaru,840716
BMW,Crosstrek,2013,"$26,456",Yellow,Eléctrico,794,Automático,1,3.5L V6,100024,Sinaloa,Culiacán,Sedan,"The eco-friendly hybrid car offers both fuel efficiency and performance, with a smooth ride, advanced features, and lower emissions for a more sustainable driving experience.",https://www.example.com/images/cars/yellow-compact-car.jpg,897604,BMW,579142
Chevrolet,Camaro,2020,"$94,438",Brown,Gasolina,242,Manual,7,1.6L I4,100025,Sonora,Hermosillo,Hybrid car,"The off-road vehicle is rugged and capable, with four-wheel drive, high ground clearance, and advanced suspension for tackling even the toughest terrain.",https://www.example.com/images/cars/purple-hybrid-car.jpg,151278,Lexus,314295
Mercedes-Benz,Q33,2004,"$17,648",Orange,Eléctrico,853,Manual,3,2.5L V6,100026,Tabasco,Centro,City car,"The sleek and modern electric car offers a smooth and silent ride, zero emissions, and advanced features for a more sustainable and high-tech driving experience.",https://www.example.com/images/cars/teal-city-car.jpg,789032,Fiat,674081
Honda,Wrangler,2018,"$78,225",Purple,Eléctrico,921,Automático,6,2.2L I4,100027,Tamaulipas,Victoria,Sports car,"The sleek and sporty sports car boasts a powerful engine, precision handling, and a luxurious interior with high-tech features.",https://www.example.com/images/cars/red-sports-car.jpg,346219,Hyundai,819354
Audi,Impala,2003,"$13,232",Gold,Gasolina,319,Manual,2,3.0L V6,100028,Tlaxcala,Tlaxcala de Xicohténcatl,SUV,"The rugged and reliable pickup truck is perfect for work or play, with a spacious bed, towing capacity, and all-terrain capabilities.",https://www.example.com/images/cars/black-SUV.jpg,632518,Jaguar,506291
Volkswagen,G108,2019,"$22,383",Beige,Eléctrico,674,Manual,8,1.4L I4,100029,Veracruz,Xalapa,Pickup truck,"The family-friendly minivan has plenty of room for passengers and cargo, with convenient sliding doors, comfortable seating, and entertainment options for long road trips.",https://www.example.com/images/cars/white-pickup-truck.jpg,478936,Tesla,246835
Porsche,Veloster,2014,"$29,974",Turquoise,Gasolina,425,Manual,4,2.4L I4,100030,Yucatán,Mérida,Minivan,"The compact city car is efficient and easy to park, making it a practical choice for navigating crowded urban areas.",https://www.example.com/images/cars/blue-convertible.jpg,843602,Chevrolet,981623
Volvo,Avalon,2015,"$31,478",Pink,Eléctrico,162,Manual,1,2.8L V6,100031,Zacatecas, Zacatecas,Convertible,The luxurious sedan combines sophisticated style with cutting-edge technology and smooth handling for a truly refined driving experience.,https://www.example.com/images/cars/silver-luxury-car.jpg,170983,Audi,732568
Jeep,Malibu,2011,"$85,573",Red,Gasolina,839,Manual,10,1.5L I4,100032,Ciudad de México,Cuauhtémoc,Compact car,"The versatile SUV is great for both daily commutes and weekend adventures, with ample cargo space, advanced safety features, and off-road capabilities.",https://www.example.com/images/cars/green-off-road-vehicle.jpg,734921,Dodge,135907
Hyundai,Tundra,2005,"$17,319",White,Eléctrico,984,Automático,7,3.6L V6,100001,Aguascalientes,Aguascalientes,Luxury car,"The sporty convertible is perfect for sunny days, with a retractable roof, agile handling, and a powerful engine for an exhilarating ride.",https://www.example.com/images/cars/orange-sports-car.jpg,483925,Subaru,840716
Kia,4Runner,2012,"$45,662",Silver,Eléctrico,496,Automático,3,1.0L I3,100002,Baja California,Mexicali,Sedan,"The eco-friendly hybrid car offers both fuel efficiency and performance, with a smooth ride, advanced features, and lower emissions for a more sustainable driving experience.",https://www.example.com/images/cars/yellow-compact-car.jpg,739102,BMW,579142
Mazda,Stinger,2010,"$98,527",Black,Gasolina,113,Automático,6,2.3L I4,100003,Baja California Sur,La Paz,Hybrid car,"The off-road vehicle is rugged and capable, with four-wheel drive, high ground clearance, and advanced suspension for tackling even the toughest terrain.",https://www.example.com/images/cars/purple-hybrid-car.jpg,287651,Lexus,314295
Ferrari,A35,2007,"$61,547",Blue,Gasolina,849,Automático,9,3.2L V6,100004,Campeche,Campeche,City car,"The sleek and modern electric car offers a smooth and silent ride, zero emissions, and advanced features for a more sustainable and high-tech driving experience.",https://www.example.com/images/cars/teal-city-car.jpg,921473,Fiat,674081
Lamborghini,Atlas,2006,"$20,296",Green,Gasolina,717,Automático,8,1.9L I4,100005,Chiapas,Tuxtla Gutiérrez,Sports car,"The sleek and sporty sports car boasts a powerful engine, precision handling, and a luxurious interior with high-tech features.",https://www.example.com/images/cars/red-sports-car.jpg,564218,Hyundai,819354
Dodge,Sienna,2022,"$61,559",Gray,Eléctrico,269,Manual,4,2.7L V6,100006,Chihuahua,Chihuahua,SUV,"The rugged and reliable pickup truck is perfect for work or play, with a spacious bed, towing capacity, and all-terrain capabilities.",https://www.example.com/images/cars/black-SUV.jpg,387102,Jaguar,506291
Lexus,Focus,2017,"$16,492",Yellow,Gasolina,965,Manual,1,4.0L V6,100007,Coahuila,Saltillo,Pickup truck,"The family-friendly minivan has plenty of room for passengers and cargo, with convenient sliding doors, comfortable seating, and entertainment options for long road trips.",https://www.example.com/images/cars/white-pickup-truck.jpg,913276,Tesla,246835
Aston Martin,C-HR,2009,"$85,231",Brown,Eléctrico,212,Manual,7,1.3L I4,100008,Colima,Colima,Minivan,"The compact city car is efficient and easy to park, making it a practical choice for navigating crowded urban areas.",https://www.example.com/images/cars/blue-convertible.jpg,625491,Chevrolet,981623
Tesla,Altima,2016,"$33,721",Orange,Gasolina,723,Manual,3,2.6L I4,100009,Durango,Durango,Convertible,The luxurious sedan combines sophisticated style with cutting-edge technology and smooth handling for a truly refined driving experience.,https://www.example.com/images/cars/silver-luxury-car.jpg,891635,Audi,732568
Cadillac,Q31,2008,"$32,682",Red,Eléctrico,989,Automático,6,3.7L V6,100010,Guanajuato,Guanajuato,Compact car,"The versatile SUV is great for both daily commutes and weekend adventures, with ample cargo space, advanced safety features, and off-road capabilities.",https://www.example.com/images/cars/green-off-road-vehicle.jpg,154830,Dodge,135907
Buick,Blazer,2001,"$54,932",White,Eléctrico,293,Manual,2,1.7L I4,100011,Guerrero,Chilpancingo de los Bravo,Luxury car,"The sporty convertible is perfect for sunny days, with a retractable roof, agile handling, and a powerful engine for an exhilarating ride.",https://www.example.com/images/cars/orange-sports-car.jpg,792361,Subaru,840716
Infiniti,RAV32,2013,"$34,511",Silver,Gasolina,498,Manual,8,2.1L I4,100012,Hidalgo, Pachuca de Soto,Sedan,"The eco-friendly hybrid car offers both fuel efficiency and performance, with a smooth ride, advanced features, and lower emissions for a more sustainable driving experience.",https://www.example.com/images/cars/yellow-compact-car.jpg,340725,BMW,579142
GMC,S33,2011,"$45,426",Black,Eléctrico,851,Manual,4,2.9L V6,100013,Jalisco,Guadalajara,Hybrid car,"The off-road vehicle is rugged and capable, with four-wheel drive, high ground clearance, and advanced suspension for tackling even the toughest terrain.",https://www.example.com/images/cars/purple-hybrid-car.jpg,628914,Lexus,314295
Rolls-Royce,Corolla,2015,"$62,134",Blue,Gasolina,736,Automático,1,1.2L I4,100014,México,Toluca,City car,"The sleek and modern electric car offers a smooth and silent ride, zero emissions, and advanced features for a more sustainable and high-tech driving experience.",https://www.example.com/images/cars/teal-city-car.jpg,471069,Fiat,674081
Land Rover,Pacifica,2020,"$19,907",Green,Eléctrico,640,Manual,10,2.5L I4,100015,Michoacán, Morelia,Sports car,"The sleek and sporty sports car boasts a powerful engine, precision handling, and a luxurious interior with high-tech features.",https://www.example.com/images/cars/red-sports-car.jpg,840527,Hyundai,819354
Jaguar,Equinox,2012,"$60,392",Gray,Eléctrico,583,Manual,7,3.1L V6,100016,Morelos,Cuernavaca,SUV,"The rugged and reliable pickup truck is perfect for work or play, with a spacious bed, towing capacity, and all-terrain capabilities.",https://www.example.com/images/cars/black-SUV.jpg,172935,Jaguar,506291
Subaru,K928,2002,"$16,277",Yellow,Gasolina,294,Manual,3,1.8L I3,100017,Nayarit,Tepic,Pickup truck,"The family-friendly minivan has plenty of room for passengers and cargo, with convenient sliding doors, comfortable seating, and entertainment options for long road trips.",https://www.example.com/images/cars/white-pickup-truck.jpg,739128,Tesla,246835
Chrysler,Expedition,2019,"$31,979",Brown,Eléctrico,472,Manual,6,2.2L V6,100018,Nuevo León,Monterrey,Minivan,"The compact city car is efficient and easy to park, making it a practical choice for navigating crowded urban areas.",https://www.example.com/images/cars/blue-convertible.jpg,285401,Chevrolet,981623
Mitsubishi,Sonata,2000,"$57,348",Orange,Gasolina,621,Automático,9,3.9L V6,100019,Oaxaca,Oaxaca de Juárez,Convertible,The luxurious sedan combines sophisticated style with cutting-edge technology and smooth handling for a truly refined driving experience.,https://www.example.com/images/cars/silver-luxury-car.jpg,941702,Audi,732568
Maserati,Civic,2018,"$77,358",Purple,Gasolina,873,Manual,8,1.4L I3,100020,Puebla,Puebla,Compact car,"The versatile SUV is great for both daily commutes and weekend adventures, with ample cargo space, advanced safety features, and off-road capabilities.",https://www.example.com/images/cars/green-off-road-vehicle.jpg,568314,Dodge,135907
Alfa Romeo,Traverse,2007,"$63,689",Gold,Gasolina,215,Manual,4,2.3L V6,100021,Querétaro,Santiago de Querétaro,Luxury car,"The sporty convertible is perfect for sunny days, with a retractable roof, agile handling, and a powerful engine for an exhilarating ride.",https://www.example.com/images/cars/orange-sports-car.jpg,395216,Subaru,840716
Bentley,S88,2005,"$52,931",Beige,Eléctrico,991,Manual,1,4.1L V6,100022,Quintana Roo,Othón P. Blanco,Sedan,"The eco-friendly hybrid car offers both fuel efficiency and performance, with a smooth ride, advanced features, and lower emissions for a more sustainable driving experience.",https://www.example.com/images/cars/yellow-compact-car.jpg,918275,BMW,579142
Peugeot,Mustang,2017,"$15,554",Turquoise,Gasolina,725,Manual,7,1.5L I3,100023,San Luis Potosí,San Luis Potosí,Hybrid car,"The off-road vehicle is rugged and capable, with four-wheel drive, high ground clearance, and advanced suspension for tackling even the toughest terrain.",https://www.example.com/images/cars/purple-hybrid-car.jpg,620143,Lexus,314295
Renault,X35,2021,"$71,142",Pink,Eléctrico,624,Manual,3,2.6L V6,100024,Sinaloa,Culiacán,City car,"The sleek and modern electric car offers a smooth and silent ride, zero emissions, and advanced features for a more sustainable and high-tech driving experience.",https://www.example.com/images/cars/teal-city-car.jpg,897604,Fiat,674081
Citroen,Edge,2011,"$30,820",Red,Gasolina,802,Manual,6,3.3L V6,100025,Sonora,Hermosillo,Sports car,"The sleek and sporty sports car boasts a powerful engine, precision handling, and a luxurious interior with high-tech features.",https://www.example.com/images/cars/red-sports-car.jpg,151278,Hyundai,819354
Opel,Enclave,2006,"$27,410",White,Eléctrico,517,Manual,2,1.0L I2,100026,Tabasco,Centro,SUV,"The rugged and reliable pickup truck is perfect for work or play, with a spacious bed, towing capacity, and all-terrain capabilities.",https://www.example.com/images/cars/black-SUV.jpg,789032,Jaguar,506291
Seat,Grand Cherokee,2008,"$14,380",Silver,Eléctrico,188,Manual,8,2.4L V6,100027,Tamaulipas,Victoria,Pickup truck,"The family-friendly minivan has plenty of room for passengers and cargo, with convenient sliding doors, comfortable seating, and entertainment options for long road trips.",https://www.example.com/images/cars/white-pickup-truck.jpg,346219,Tesla,246835
Skoda,Optima,2019,"$33,040",Black,Gasolina,925,Manual,4,3.8L V6,100028,Tlaxcala,Tlaxcala de Xicohténcatl,Minivan,"The compact city car is efficient and easy to park, making it a practical choice for navigating crowded urban areas.",https://www.example.com/images/cars/blue-convertible.jpg,632518,Chevrolet,981623
Fiat,CX-33,2014,"$94,907",Blue,Eléctrico,398,Automático,1,1.6L I3,100029,Veracruz,Xalapa,Convertible,The luxurious sedan combines sophisticated style with cutting-edge technology and smooth handling for a truly refined driving experience.,https://www.example.com/images/cars/silver-luxury-car.jpg,478936,Audi,732568
Smart,Bolt EV,2016,"$20,292",Green,Gasolina,768,Manual,10,2.7L I4,100030,Yucatán,Mérida,Compact car,"The versatile SUV is great for both daily commutes and weekend adventures, with ample cargo space, advanced safety features, and off-road capabilities.",https://www.example.com/images/cars/green-off-road-vehicle.jpg,843602,Dodge,135907
Mini,Explorer,2012,"$57,085",Gray,Eléctrico,673,Manual,7,4.2L V6,100031,Zacatecas, Zacatecas,Luxury car,"The sporty convertible is perfect for sunny days, with a retractable roof, agile handling, and a powerful engine for an exhilarating ride.",https://www.example.com/images/cars/orange-sports-car.jpg,170983,Subaru,840716
Lotus,Encore,2004,"$53,527",Yellow,Eléctrico,956,Manual,3,1.9L I3,100032,Ciudad de México,Cuauhtémoc,Sedan,"The eco-friendly hybrid car offers both fuel efficiency and performance, with a smooth ride, advanced features, and lower emissions for a more sustainable driving experience.",https://www.example.com/images/cars/yellow-compact-car.jpg,734921,BMW,579142
Lada,Telluride,2000,"$68,615",Brown,Gasolina,117,Manual,6,2.8L I4,100001,Aguascalientes,Aguascalientes,Hybrid car,"The off-road vehicle is rugged and capable, with four-wheel drive, high ground clearance, and advanced suspension for tackling even the toughest terrain.",https://www.example.com/images/cars/purple-hybrid-car.jpg,483925,Lexus,314295
Dacia,Tucson,2010,"$35,293",Orange,Eléctrico,637,Automático,9,3.4L V6,100002,Baja California,Mexicali,City car,"The sleek and modern electric car offers a smooth and silent ride, zero emissions, and advanced features for a more sustainable and high-tech driving experience.",https://www.example.com/images/cars/teal-city-car.jpg,739102,Fiat,674081
Saab,Tiguan,2022,"$77,404",Red,Gasolina,540,Manual,8,1.1L I4,100003,Baja California Sur,La Paz,Sports car,"The sleek and sporty sports car boasts a powerful engine, precision handling, and a luxurious interior with high-tech features.",https://www.example.com/images/cars/red-sports-car.jpg,287651,Hyundai,819354
Suzuki,Odyssey,2015,"$20,041",White,Gasolina,858,Manual,4,2.1L V6,100004,Campeche,Campeche,SUV,"The rugged and reliable pickup truck is perfect for work or play, with a spacious bed, towing capacity, and all-terrain capabilities.",https://www.example.com/images/cars/black-SUV.jpg,921473,Jaguar,506291
Tata,CT34,2001,"$67,108",Silver,Gasolina,120,Manual,1,4.3L V6,100005,Chiapas,Tuxtla Gutiérrez,Pickup truck,"The family-friendly minivan has plenty of room for passengers and cargo, with convenient sliding doors, comfortable seating, and entertainment options for long road trips.",https://www.example.com/images/cars/white-pickup-truck.jpg,564218,Tesla,246835
Geely,E-Class,2018,"$34,559",Black,Eléctrico,440,Manual,7,1.7L I3,100006,Chihuahua,Chihuahua,Minivan,"The compact city car is efficient and easy to park, making it a practical choice for navigating crowded urban areas.",https://www.example.com/images/cars/blue-convertible.jpg,387102,Chevrolet,981623
BYD,Tiguan Limited,2013,"$54,986",Blue,Gasolina,278,Manual,3,2.9L I4,100007,Coahuila,Saltillo,Convertible,The luxurious sedan combines sophisticated style with cutting-edge technology and smooth handling for a truly refined driving experience.,https://www.example.com/images/cars/silver-luxury-car.jpg,913276,Audi,732568
